Order;City;Cantidad
1003170908692-01;Quito;1
1003173231700-01;Ambato;1
1003182537771-01;Guayaquil;1
1003193004482-01;Guayaquil;9
1003251698794-01;Pedro Carbo;1
1003260615583-01;Quito;1
1003262842252-01;Guayaquil;10
1003271697886-01;Guayaquil;1
1003272712346-01;Quito;1
1003272992487-01;Quito;1
1003281056825-01;Loja;2
1003281338726-01;Guayaquil;1
1003281755682-01;Jipijapa;3
1003291314170-01;Cuenca;1
1003292182367-01;Guayaquil;1
1003293120040-01;Quito;1
1003300589574-01;Guayaquil;1
1003310672865-01;Quito;2
1003311026928-01;Guayaquil;1
1003311991687-01;Guayaquil;1
1003312933804-01;Lomas De Sargentillo;1
1003313088411-01;Quito;3
1003321816670-01;Guayaquil;1
1003322718731-01;Guayaquil;1
1003322794592-01;Portoviejo;1
1003322892038-01;Quevedo;1
1003330797544-01;Portoviejo;1
1003330916003-01;Daule;6
1003332706537-01;Portoviejo;1
1003333047743-01;Buena Fe;3
1003333157861-01;Machala;1
1003340864441-01;Guayaquil;1
1003343134898-01;Cayambe;5
1003350642717-01;Guayaquil;1
1003352360864-01;Zamora;1
1003361550095-01;Guayaquil;1
1003371292164-01;Guayaquil;1
1003371738440-01;Cuenca;2
1003373323452-01;Guayaquil;1
1003373447170-01;Guayaquil;1
1003381187215-01;Quito;1
1003391275699-01;Cuenca;3
1003403457971-01;Quininde;7
1003471680650-01;Cuenca;3
1003481494380-01;Quito;1
1003491444987-01;Guayaquil;1
1003491834368-01;Nobol;1
1003493483547-01;Guayaquil;4
1003510605098-01;Quito;3
1003530269959-01;Loja;4
1003530365323-01;Ruminahui;4
1003532184879-01;Guayaquil;2
1003533520808-01;El Empalme;2
1003551706978-01;Samborondon;3
1003552449111-01;Quito;3
1003552612200-01;Guayaquil;13
1003552614551-01;Salinas;1
1003560964056-01;Quito;1
1003561878109-01;Machala;1
1003570451594-01;Cuenca;6
1003571781570-01;Quito;7
1003572785039-01;Santa Rosa;1
1003572863983-01;Quito;20
1003582064620-01;Guayaquil;1
1003582309001-01;Quito;4
1003583102021-01;Quito;4
1003583419229-01;Esmeraldas;1
1003592635722-01;Guayaquil;1
1003593086186-01;Guayaquil;1
1003593343723-01;Quito;1
1003600648585-01;Guayaquil;2
1003610709115-01;Quito;4
1003620984070-01;Babahoyo;1
1003621230011-01;Quito;5
1003630023203-01;Milagro;31
1003630421271-01;Quito;6
1003640109302-01;Latacunga;1
1003640526421-01;Quevedo;15
1003652014006-01;Guayaquil;3
1003653583679-01;Santa Elena;1
1003663099875-01;Guayaquil;1
1003740887631-01;San Lorenzo;1
1003741658595-01;Guayaquil;1
1003750658317-01;Esmeraldas;1
1003752307761-01;Quito;7
1003760070232-01;Tena;1
1003760574481-01;Quito;1
1003761367992-01;Quito;1
1003761508240-01;Quito;1
1003761631845-01;Lago Agrio;1
1003761963759-01;Guayaquil;5
1003762629843-01;Guayaquil;1
1003763013536-01;Guayaquil;1
1003763140487-01;Quito;1
1003763296835-01;Guayaquil;1
